纬度,经度,名称,数量
37.9713,-81.7138,Boone,276
39.5512,-79.8003,Preston,0
37.5905,-80.5419,Monroe,257
37.3675,-81.3572,McDowell,0
37.7624,-81.4189,Raleigh,0
39.2604,-80.3265,Harrison,0
38.7968,-79.8967,Randolph,9
38.1217,-81.2528,Fayette,0
39.0671,-79.8144,Randolph,0
39.6587,-79.9868,Monongalia,0
39.1806,-81.513,Wood,411
38.5374,-81.9256,Putnam,4
38.486,-81.3502,Kanawha,403
38.4154,-82.3188,Cabell,104
40.2811,-80.6102,Brooke,0
39.9854,-80.7335,Marshall,46
37.4268,-81.5078,McDowell,0
39.1458,-79.4958,Tucker,0
38.974,-79.4173,Tucker,0
39.5313,-78.4553,Morgan,41
38.6219,-79.2413,Pendleton,21
38.9783,-79.9505,Barbour,2
38.8015,-81.0962,Calhoun,3
38.8656,-81.8235,Jackson,257
39.3307,-79.8245,Preston,0
38.8965,-79.9679,Randolph,0
39.2666,-80.1287,Taylor,0
38.3482,-81.711,Kanawha,0
37.6262,-82.1696,Mingo,3
39.337,-78.9223,Mineral,0
39.5013,-80.1696,Marion,335
38.2746,-80.0915,Pocahontas,13
38.4604,-80.3731,Webster,14
40.2181,-80.6588,Brooke,0
39.5274,-80.341,Marion,0
38.519,-80.589,Webster,0
39.4598,-80.2185,Marion,0
37.9252,-81.6177,Boone,0
38.8479,-79.422,Pendleton,0
38.6663,-82.1706,Mason,43
38.5632,-80.8979,Braxton,5
38.008,-81.5623,Boone,0
38.4847,-80.2982,Webster,0
38.5042,-81.6398,Kanawha,0
38.9927,-80.2279,Upshur,4
38.9243,-80.0904,Upshur,0
38.4662,-81.0815,Clay,4
37.7154,-81.4179,Wyoming,30
38.8025,-81.3531,Roane,1
39.6144,-78.2858,Morgan,0
37.9698,-82.4824,Wayne,0
38.5471,-79.8278,Pocahontas,0
38.5357,-81.0348,Clay,0
37.8425,-82.4084,Mingo,0
38.5422,-79.7859,Pocahontas,0
38.4159,-82.0722,Cabell,0
37.5992,-81.8381,Mingo,0
39.3456,-79.942,Taylor,0
37.724,-81.1267,Raleigh,0
38.853,-82.1303,Mason,0
39.5689,-80.7316,Wetzel,3
38.0043,-80.944,Fayette,0
39.6801,-80.1073,Monongalia,0
37.7502,-81.5764,Wyoming,0
37.7265,-82.0023,Logan,0
38.4165,-80.1267,Pocahontas,0
39.4719,-79.6822,Preston,0
38.9815,-80.9496,Gilmer,5
38.8712,-80.5937,Braxton,0
38.2001,-80.8512,Nicholas,123
39.2862,-80.323,Harrison,0
39.4966,-78.7631,Mineral,0
39.3732,-78.5228,Hampshire,9
38.8121,-79.7389,Randolph,0
39.234,-81.4435,Wood,0
38.2859,-80.9498,Nicholas,0
38.1255,-81.2333,Fayette,0
37.3373,-81.7334,McDowell,0
38.4793,-80.4134,Webster,0
38.3668,-80.5956,Webster,0
37.6776,-81.218,Raleigh,0
37.8709,-81.6357,Boone,0
37.9727,-82.0216,Logan,0
40.0753,-80.6951,Ohio,37
38.3246,-80.645,Nicholas,0
37.5054,-81.3404,Wyoming,0
38.2289,-80.5807,Nicholas,0
38.4294,-82.0168,Putnam,0
39.458,-77.9779,Berkeley,116
39.2822,-80.462,Harrison,0
37.7503,-80.4715,Greenbrier,31
37.7652,-81.9834,Logan,0
37.688,-81.8737,Logan,0
39.1273,-80.3829,Harrison,0
39.1627,-80.3484,Harrison,0
38.2109,-81.4218,Kanawha,0
37.6742,-82.271,Mingo,0
39.5637,-77.8874,Berkeley,0
39.1945,-78.6042,Hampshire,0
38.2223,-81.4376,Kanawha,0
38.9379,-80.8339,Gilmer,0
37.9963,-81.8202,Boone,0
39.3201,-81.2401,Pleasants,0
38.744,-79.4359,Pendleton,0
38.2233,-81.5364,Kanawha,0
37.5697,-81.8906,Mingo,0
37.3323,-80.9704,Mercer,0
37.3599,-81.4648,McDowell,0
37.3516,-81.2514,Mercer,0
37.7117,-81.2524,Raleigh,0
38.7319,-79.9725,Randolph,0
38.4482,-81.9239,Putnam,0
39.3454,-78.7564,Hampshire,0
38.334,-81.1751,Clay,0
39.4768,-80.149,Marion,0
37.8509,-81.9857,Logan,0
37.6387,-81.394,Wyoming,0
39.199,-81.4601,Wood,0
37.9825,-81.5367,Boone,0
38.4267,-79.8344,Pocahontas,0
37.7062,-82.2737,Mingo,0
37.7817,-81.2649,Raleigh,0
38.3688,-81.7345,Kanawha,0
39.5242,-78.6302,Hampshire,0
37.7861,-81.9341,Logan,0
38.1741,-81.3241,Kanawha,0
39.3889,-79.8536,Preston,0
39.5544,-77.9944,Berkeley,0
38.6558,-80.216,Randolph,0
39.3538,-78.0552,Berkeley,0
39.501,-80.5555,Wetzel,0
38.422,-80.6548,Nicholas,0
38.9218,-80.3215,Upshur,0
37.9926,-80.3576,Greenbrier,0
37.7243,-80.8865,Summers,0
39.7101,-80.1685,Monongalia,0
39.1226,-81.1709,Ritchie,0
37.6374,-81.313,Raleigh,0
39.5927,-80.2469,Marion,0
37.5812,-81.3855,Wyoming,0
38.7051,-81.4104,Roane,0
38.2817,-81.5654,Kanawha,0
38.9203,-81.0934,Calhoun,0
37.7878,-81.1841,Raleigh,0
39.2954,-78.6378,Hampshire,0
38.939,-79.1061,Grant,0
38.4904,-81.6473,Kanawha,0
37.7583,-81.9973,Logan,0
39.6062,-79.8812,Monongalia,0
39.2066,-81.1544,Ritchie,0
38.5107,-81.8418,Putnam,0
37.744,-82.0093,Logan,0
37.3367,-81.7712,McDowell,0
37.3621,-81.5405,McDowell,0
38.6554,-81.9512,Putnam,0
37.73,-81.2797,Raleigh,0
37.7855,-81.7879,Logan,0
38.7187,-80.654,Braxton,0
38.3706,-81.7717,Kanawha,0
37.5623,-80.4081,Monroe,0
38.9957,-79.1276,Grant,0
37.9251,-80.3845,Greenbrier,0
39.6471,-79.9974,Monongalia,0
39.0445,-80.8268,Gilmer,0
39.4795,-80.2728,Marion,0
37.9088,-81.9867,Logan,0
39.0618,-81.3975,Wirt,0
37.4046,-81.4643,McDowell,0
38.3769,-81.8198,Kanawha,0
38.3224,-82.4479,Wayne,0
38.2465,-81.3882,Kanawha,0
38.7795,-79.8911,Randolph,0
37.5846,-81.5354,Wyoming,0
37.7656,-81.8578,Logan,0
39.0742,-81.5532,Wood,0
39.2339,-80.1277,Barbour,0
39.0942,-79.6786,Tucker,0
37.571,-81.3614,Wyoming,0
37.4906,-81.3194,Wyoming,0
37.7962,-80.3016,Greenbrier,0
38.6117,-81.982,Putnam,0
39.6035,-80.9351,Tyler,0
38.8204,-81.7796,Jackson,0
39.334,-80.0767,Taylor,0
38.7138,-79.9766,Randolph,0
39.5641,-80.6824,Wetzel,0
37.6004,-81.635,Wyoming,0
37.327,-81.313,Mercer,0
37.7052,-82.186,Mingo,0
39.5598,-80.9987,Tyler,0
38.4109,-82.4344,Cabell,0
38.1166,-81.0112,Fayette,0
39.188,-80.949,Ritchie,0
37.7653,-81.827,Logan,0
38.9092,-79.7089,Randolph,0
38.1443,-81.289,Fayette,0
39.0393,-80.6551,Lewis,67
38.5285,-81.8861,Putnam,0
37.7756,-80.4582,Greenbrier,0
38.1863,-81.3673,Kanawha,0
37.6142,-81.8689,Mingo,0
39.5318,-80.1207,Marion,0
39.3882,-77.8856,Jefferson,0
39.7117,-80.8237,Wetzel,0
38.2707,-79.8806,Pocahontas,0
38.2387,-81.9893,Lincoln,9
38.2337,-81.5387,Kanawha,0
39.1348,-78.9497,Hardy,0
38.7829,-80.2226,Upshur,0
39.2834,-81.0815,Ritchie,0
39.6324,-79.9773,Monongalia,0
37.7277,-80.6436,Greenbrier,0
37.741,-81.23,Raleigh,0
38.3007,-81.5571,Kanawha,0
39.4197,-80.2834,Harrison,0
38.844,-79.8719,Randolph,0
38.3484,-81.6323,Kanawha,0
39.0365,-81.1762,Wirt,0
38.1958,-81.4928,Kanawha,0
37.4537,-80.6698,Monroe,0
37.8101,-80.9231,Summers,0
37.8198,-80.5592,Greenbrier,0
39.0962,-80.8562,Ritchie,0
39.3431,-80.3163,Harrison,0
37.7086,-81.988,Logan,0
38.2209,-82.2038,Lincoln,0
39.6278,-78.7896,Mineral,0
37.9098,-81.2648,Fayette,0
39.5119,-80.2515,Marion,0
38.1407,-81.2966,Fayette,0
38.0808,-81.8342,Boone,0
37.7553,-81.2078,Raleigh,0
39.3409,-80.0162,Taylor,0
39.3929,-79.7466,Preston,0
37.6927,-81.6324,Wyoming,0
39.1254,-80.7407,Doddridge,8
38.9298,-78.8342,Hardy,0
40.5072,-80.6115,Hancock,0
40.0901,-80.569,Ohio,0
38.9561,-81.7619,Jackson,0
37.3148,-81.0523,Mercer,0
38.9406,-81.2271,Calhoun,0
38.1768,-81.3048,Fayette,0
37.9392,-81.1527,Fayette,0
38.4061,-82.297,Cabell,0
37.9095,-82.447,Wayne,0
38.1297,-81.2539,Fayette,0
39.1662,-79.6987,Tucker,0
37.9737,-81.3046,Fayette,0
39.0391,-80.4617,Lewis,0
39.6594,-79.6406,Preston,0
39.2963,-80.7751,Doddridge,0
38.0251,-82.1054,Lincoln,0
37.9649,-80.687,Greenbrier,0
39.4568,-80.2636,Marion,0
38.8148,-79.5451,Randolph,0
39.4798,-80.3098,Marion,0
39.2104,-81.0485,Ritchie,0
38.8304,-82.136,Mason,0
38.1203,-82.5952,Wayne,0
38.4707,-80.9595,Clay,0
38.4961,-80.7498,Nicholas,0
39.6672,-79.8565,Monongalia,0
38.639,-81.4021,Roane,0
39.6379,-79.9468,Monongalia,0
38.2245,-80.0905,Pocahontas,0
39.2998,-78.4337,Hampshire,0
37.835,-81.1275,Raleigh,0
38.1516,-81.2825,Fayette,0
37.6285,-80.2414,Monroe,0
40.14,-80.6901,Ohio,0
38.1107,-80.877,Fayette,0
38.4353,-79.8116,Pocahontas,0
38.1384,-81.7596,Boone,0
39.2422,-81.6679,Wood,0
39.4706,-80.5204,Wetzel,0
38.5737,-80.4565,Webster,0
39.0109,-80.3023,Upshur,0
37.78,-81.8182,Logan,0
37.3534,-81.8012,McDowell,0
37.8136,-81.9915,Logan,0
38.3951,-82.5542,Wayne,0
37.9767,-81.1161,Fayette,0
37.9504,-81.1666,Fayette,0
38.9154,-80.7476,Gilmer,0
37.8409,-81.9624,Logan,0
37.6488,-82.1316,Mingo,0
38.6702,-80.7717,Braxton,0
39.2624,-81.5419,Wood,0
37.8546,-81.0445,Fayette,0
39.7175,-80.2146,Monongalia,0
39.2562,-81.6316,Wood,0
39.2874,-80.9754,Ritchie,0
39.4004,-81.4518,Wood,0
39.5629,-80.0531,Monongalia,0
39.4394,-78.9823,Mineral,0
39.0754,-79.6299,Tucker,0
37.6651,-80.8828,Summers,0
37.6095,-81.3051,Raleigh,0
37.894,-80.599,Greenbrier,0
37.8532,-82.0603,Logan,0
38.8729,-80.3565,Upshur,0
38.2865,-80.841,Nicholas,0
39.3254,-79.5546,Preston,0
37.8096,-80.4327,Greenbrier,0
39.2184,-77.9053,Jefferson,0
38.487,-82.293,Cabell,0
37.9271,-81.153,Fayette,0
38.2251,-81.6023,Kanawha,0
37.7032,-81.0912,Raleigh,0
39.3329,-81.3812,Wood,0
39.3036,-80.2476,Harrison,0
38.0343,-82.129,Lincoln,0
39.4442,-79.5435,Preston,0
38.0054,-82.0361,Logan,0
39.2276,-81.6265,Wood,0
37.4608,-81.705,McDowell,0
38.0645,-81.2279,Fayette,0
38.9978,-81.9905,Mason,0
39.3032,-77.981,Jefferson,0
37.7356,-81.15,Raleigh,0
37.7679,-82.1912,Mingo,0
38.1681,-81.2038,Fayette,0
39.325,-77.8667,Jefferson,0
37.3364,-81.4407,McDowell,0
39.6636,-80.8569,Wetzel,0
37.2384,-81.6098,McDowell,0
39.1909,-81.2684,Ritchie,0
38.7694,-79.928,Randolph,0
38.2221,-80.5363,Nicholas,0
37.4228,-81.1967,Mercer,0
39.1401,-79.512,Tucker,0
39.6836,-80.4576,Wetzel,0
37.304,-81.6801,McDowell,0
38.2154,-81.4439,Kanawha,0
39.0659,-80.1942,Upshur,0
37.4954,-81.1029,Mercer,0
40.406,-80.5671,Hancock,0
39.7024,-80.5147,Wetzel,0
37.2786,-81.6241,McDowell,0
37.4182,-81.2417,Mercer,0
37.5329,-81.3821,Wyoming,0
40.0139,-80.7328,Marshall,0
39.2044,-80.4034,Harrison,0
37.3688,-81.0961,Mercer,0
37.2602,-81.217,Mercer,0
37.8156,-81.1492,Raleigh,0
40.2053,-80.5629,Brooke,0
38.411,-80.5542,Webster,0
38.3596,-79.8809,Pocahontas,0
38.0623,-81.1084,Fayette,0
38.2802,-82.194,Lincoln,0
37.266,-81.6633,McDowell,0
38.6526,-80.3837,Webster,0
38.0941,-81.322,Fayette,0
38.4418,-81.9168,Putnam,0
39.5207,-80.2997,Marion,0
39.2849,-80.5645,Harrison,0
37.4501,-81.7029,McDowell,0
40.0452,-80.6898,Ohio,0
38.727,-80.3923,Webster,0
39.6671,-79.6277,Preston,0
38.1679,-82.3779,Wayne,0
39.4415,-78.1322,Berkeley,0
37.423,-81.0148,Mercer,0
37.4726,-81.2607,Mercer,0
38.2805,-82.1087,Lincoln,0
39.3531,-77.8375,Jefferson,0
38.8579,-80.6538,Braxton,0
39.675,-80.0678,Monongalia,0
37.6448,-81.1982,Raleigh,0
39.5136,-81.0615,Tyler,0
38.0168,-80.4679,Greenbrier,0
38.4029,-82.5825,Wayne,0
37.9715,-81.8215,Boone,0
37.9889,-81.1467,Fayette,0
37.9003,-81.1721,Fayette,0
38.2082,-81.3868,Kanawha,0
39.0674,-78.9624,Hardy,0
38.1357,-81.1038,Fayette,0
39.1798,-79.9092,Barbour,0
39.3309,-80.3341,Harrison,0
39.559,-80.1772,Marion,0
39.2123,-77.8105,Jefferson,0
38.7058,-80.1993,Randolph,0
39.3251,-77.7409,Jefferson,0
38.7984,-79.7195,Randolph,0
39.3862,-79.1555,Mineral,0
39.9466,-80.7564,Marshall,0
38.2362,-82.6028,Wayne,0
37.6982,-81.5362,Wyoming,0
39.1932,-79.17,Grant,0
37.8282,-81.9652,Logan,0
39.2301,-80.6826,Doddridge,0
37.4455,-81.5721,McDowell,0
37.799,-82.2868,Mingo,0
37.8384,-81.1987,Raleigh,0
39.6432,-78.7711,Mineral,0
39.4023,-81.1951,Pleasants,0
38.9237,-79.854,Randolph,0
37.7879,-81.9865,Logan,0
39.493,-80.2572,Marion,0
39.5304,-80.6404,Wetzel,0
37.4172,-81.4923,McDowell,0
39.1488,-80.0417,Barbour,0
37.5554,-81.9657,Mingo,0
39.5937,-79.5648,Preston,0
37.664,-81.5985,Wyoming,0
38.1518,-81.2185,Fayette,0
39.9221,-80.7422,Marshall,0
38.3185,-81.5229,Kanawha,0
38.4376,-80.444,Webster,0
39.5618,-78.427,Morgan,0
39.627,-78.2272,Morgan,0
39.424,-80.1889,Marion,0
39.3376,-80.4179,Harrison,0
37.4642,-81.8111,McDowell,0
39.0768,-78.5932,Hardy,0
38.7873,-79.2825,Pendleton,0
39.022,-79.9383,Barbour,0
37.7274,-81.8206,Logan,0
39.607,-79.892,Monongalia,0
37.9678,-80.7717,Greenbrier,0
38.8996,-81.4264,Roane,0
37.8675,-81.2046,Raleigh,0
38.2458,-81.5712,Kanawha,0
38.2094,-81.4655,Kanawha,0
37.7522,-81.8923,Logan,0
38.6765,-81.6601,Jackson,0
37.8593,-81.0722,Fayette,0
38.7745,-82.204,Mason,0
39.2773,-79.2409,Grant,0
38.8157,-80.4618,Lewis,0
38.4257,-80.3112,Webster,0
38.2876,-81.833,Kanawha,0
37.7807,-80.394,Greenbrier,0
39.3786,-81.2635,Pleasants,0
38.1317,-81.6101,Boone,0
39.0183,-82.0314,Mason,0
37.4196,-81.4274,McDowell,0
39.4778,-79.0466,Mineral,0
38.2183,-80.6889,Nicholas,0
37.8238,-82.0788,Logan,0
38.5462,-79.808,Pocahontas,0
39.4659,-81.1084,Tyler,0
37.4759,-81.6474,McDowell,0
39.2501,-80.3054,Harrison,0
38.5472,-80.032,Randolph,0
39.4946,-80.907,Tyler,0
39.0418,-78.7447,Hardy,0
39.2678,-81.0551,Ritchie,0
38.2327,-81.1894,Nicholas,0
38.8201,-81.7091,Jackson,0
40.6129,-80.5627,Hancock,0
39.4937,-79.6399,Preston,0
39.1266,-79.4609,Tucker,0
38.4327,-81.477,Kanawha,0
38.0632,-81.8046,Boone,0
38.8368,-80.3426,Upshur,0
40.319,-80.5825,Brooke,0
37.8613,-80.8561,Fayette,0
39.3482,-79.6764,Preston,0
39.074,-81.0943,Ritchie,0
39.3149,-81.5088,Wood,0
38.1859,-80.0151,Pocahontas,0
39.828,-80.5693,Marshall,0
39.4505,-80.1552,Marion,0
39.4072,-80.4911,Harrison,0
37.7694,-81.2133,Raleigh,0
37.4737,-80.422,Monroe,0
37.5435,-80.6826,Monroe,0
38.9059,-81.6607,Jackson,0
37.4158,-81.4463,McDowell,0
39.2893,-80.7343,Doddridge,0
37.3991,-80.795,Monroe,0
39.2746,-77.8632,Jefferson,0
39.4131,-80.974,Tyler,0
39.5102,-79.8006,Preston,0
38.1398,-81.6541,Boone,0
38.473,-81.8124,Putnam,0
38.0231,-82.4315,Wayne,0
38.4119,-81.8194,Kanawha,0
40.0483,-80.6229,Ohio,0
37.896,-80.332,Greenbrier,0
39.3751,-79.0267,Mineral,0
37.2805,-81.245,Mercer,0
40.1914,-80.6647,Brooke,0
38.6664,-80.7117,Braxton,0
37.8168,-81.9082,Logan,0
37.8745,-81.9848,Logan,0
38.7393,-80.9429,Braxton,0
38.6452,-79.3332,Pendleton,0
37.2937,-81.4259,McDowell,0
38.0586,-80.706,Greenbrier,0
39.6587,-80.0076,Monongalia,0
37.7349,-81.3015,Raleigh,0
38.251,-81.1943,Nicholas,0
39.1003,-80.1882,Barbour,0
38.4119,-81.5374,Kanawha,0
38.5288,-81.8552,Putnam,0
37.9,-81.9821,Logan,0
38.7471,-81.9555,Mason,0
37.5735,-81.4145,Wyoming,0
39.3674,-81.4853,Wood,0
37.5735,-81.487,Wyoming,0
37.4262,-81.3313,McDowell,0
38.7998,-82.0404,Mason,0
39.4318,-77.8048,Jefferson,0
38.4351,-81.7706,Kanawha,0
38.3243,-82.2172,Cabell,0
38.0676,-81.4498,Kanawha,0
38.1632,-79.9809,Pocahontas,0
39.6151,-78.7615,Mineral,0
38.1353,-80.2136,Pocahontas,0
39.445,-78.6977,Hampshire,0
38.6709,-79.4912,Pendleton,0
38.5918,-82.1865,Mason,0
38.4062,-81.481,Kanawha,0
40.1647,-80.5972,Ohio,0
37.6221,-81.1057,Raleigh,0
39.3236,-81.5381,Wood,0
38.4353,-82.1376,Cabell,0
39.11,-80.4085,Lewis,0
39.2874,-80.3158,Harrison,0
38.0381,-81.2759,Fayette,0
38.9211,-79.5245,Randolph,0
38.5159,-81.8449,Putnam,0
37.3144,-81.2581,Mercer,0
38.3964,-79.9191,Pocahontas,0
38.2962,-81.3037,Kanawha,0
38.0506,-81.2718,Fayette,0
39.2611,-80.2862,Harrison,0
39.3742,-80.3484,Harrison,0
38.9876,-81.9655,Mason,0
37.8679,-81.9906,Logan,0
39.3648,-80.307,Harrison,0
40.3385,-80.5975,Brooke,0
40.3312,-79.677,Westmoreland,0
39.894,-75.4338,Delaware,1890
40.8289,-75.7009,Carbon,65
41.4998,-79.8736,Venango,77
40.3264,-80.4091,Washington,0
40.337,-76.448,Lebanon,561
40.2111,-75.2744,Montgomery,0
40.3951,-77.0278,Perry,223
40.4111,-78.8446,Cambria,165
40.5734,-76.9924,Perry,0
40.4001,-80.1873,Allegheny,4662
41.4846,-75.666,Lackawanna,508
40.3495,-76.1391,Berks,563
40.5989,-80.4738,Beaver,276
39.8562,-75.3796,Delaware,0
41.3957,-75.2731,Wayne,0
40.6079,-79.7411,Allegheny,0
41.8332,-75.8762,Susquehanna,135
40.6595,-80.4115,Beaver,0
40.1015,-74.8852,Bucks,121
40.8565,-76.235,Schuylkill,415
40.2898,-79.9962,Allegheny,0
40.8243,-75.6701,Carbon,0
41.3338,-75.8214,Luzerne,1025
40.2376,-80.0939,Washington,0
40.9185,-79.4603,Armstrong,83
40.9007,-76.0046,Schuylkill,0
40.7078,-77.3107,Snyder,67
40.6295,-75.2024,Northampton,0
40.3821,-78.1697,Huntingdon,69
40.7241,-80.3133,Beaver,0
40.4792,-80.1303,Allegheny,0
39.9163,-76.5841,York,0
41.1062,-78.7749,Clearfield,40
40.0373,-75.3491,Delaware,0
40.1899,-75.4348,Montgomery,0
39.9639,-75.885,Chester,563
40.9505,-79.74,Butler,1547
41.8694,-78.66,McKean,19
40.2012,-75.3466,Montgomery,0
40.3063,-75.9872,Berks,0
41.0094,-77.5306,Clinton,283
39.832,-76.3275,Lancaster,0
41.2869,-75.8356,Luzerne,0
41.7806,-79.0941,Warren,0
41.4937,-79.448,Forest,0
39.8826,-77.1569,Adams,187
40.1552,-74.9147,Bucks,0
40.1158,-79.8936,Washington,0
41.177,-75.418,Monroe,0
40.3249,-79.6997,Westmoreland,0
41.2106,-79.3803,Clarion,30
40.0047,-76.3522,Lancaster,0
40.6666,-75.5072,Lehigh,209
40.0239,-76.5311,York,0
40.6783,-79.1646,Indiana,59
40.2422,-76.9274,Cumberland,0
40.3636,-78.7919,Cambria,0
41.7606,-76.1763,Bradford,35
40.3509,-79.8906,Allegheny,0
40.2592,-78.5075,Bedford,0
40.6573,-79.8284,Allegheny,0
40.4145,-79.5729,Westmoreland,0
40.8525,-78.2699,Clearfield,0
40.98,-77.7057,Centre,138
40.8197,-78.8297,Indiana,0
39.8423,-75.9413,Chester,0
40.2642,-80.1868,Washington,0
40.5331,-77.8141,Mifflin,96
41.1572,-80.0893,Mercer,0
40.3436,-80.3803,Washington,0
41.3265,-76.9455,Lycoming,283
41.3502,-80.0837,Mercer,0
40.3556,-80.2678,Washington,0
40.9702,-78.8765,Jefferson,0
40.6864,-78.2272,Blair,308
40.4626,-78.5866,Cambria,0
39.8682,-75.4135,Delaware,0
40.158,-76.2032,Lancaster,0
39.9476,-79.9986,Greene,0
40.8618,-80.2625,Lawrence,348
40.0063,-77.2084,Adams,0
41.4902,-75.7065,Lackawanna,0
40.4398,-75.3456,Bucks,0
41.6795,-77.069,Tioga,17
41.0251,-79.1405,Jefferson,0
40.8084,-79.5221,Armstrong,0
40.1775,-75.1054,Montgomery,0
40.5191,-75.8638,Berks,0
41.0926,-75.5927,Monroe,0
41.3917,-79.2633,Clarion,0
40.1411,-75.0674,Montgomery,0
40.03,-79.9632,Washington,0
39.7243,-77.515,Franklin,0
39.8743,-75.7177,Chester,0
40.6938,-76.2921,Schuylkill,0
40.5528,-80.1051,Allegheny,0
40.6006,-79.5837,Westmoreland,0
40.6845,-79.6617,Armstrong,0
40.7608,-79.5358,Armstrong,0
40.8592,-79.9395,Butler,0
40.0779,-75.6877,Chester,0
40.0857,-76.2083,Lancaster,0
40.494,-79.9251,Allegheny,0
39.8891,-75.277,Delaware,0
40.0903,-79.5872,Fayette,0
40.227,-75.8502,Berks,0
40.6497,-76.1484,Schuylkill,0
40.3125,-79.8036,Allegheny,0
40.568,-80.1271,Allegheny,0
40.7585,-75.4013,Northampton,0
40.517,-80.2214,Allegheny,0
39.7342,-80.0755,Greene,0
41.0177,-76.4969,Columbia,36
40.0158,-79.5899,Fayette,0
39.9834,-78.772,Somerset,85
40.2737,-80.4672,Washington,0
40.6524,-76.4876,Schuylkill,0
40.4884,-78.7264,Cambria,0
40.2574,-75.4662,Montgomery,0
40.3902,-79.7215,Westmoreland,0
39.863,-77.0554,Adams,0
40.5428,-79.8013,Allegheny,0
40.9617,-78.2905,Clearfield,0
40.481,-80.4428,Beaver,0
40.2242,-75.6418,Chester,0
40.41,-79.8387,Allegheny,0
40.2355,-78.8247,Somerset,0
40.0705,-75.3192,Montgomery,0
40.791,-77.8568,Centre,0
42.2134,-79.8333,Erie,737
41.1709,-76.874,Lycoming,0
40.3533,-75.9892,Berks,0
40.74,-75.3132,Northampton,0
39.7452,-79.3344,Somerset,0
40.2752,-76.8843,Dauphin,1145
41.4215,-75.5005,Lackawanna,0
40.343,-77.3062,Perry,0
40.2719,-75.7321,Berks,0
41.438,-79.8183,Venango,0
40.1345,-78.2665,Bedford,0
41.5726,-78.6869,Elk,50
40.9243,-80.1468,Butler,0
40.2958,-80.3052,Washington,0
40.3465,-75.9827,Berks,0
41.4102,-76.5832,Sullivan,1
40.2016,-74.8872,Bucks,0
40.3124,-79.6542,Westmoreland,0
41.2968,-75.8167,Luzerne,0
41.1328,-76.4232,Columbia,0
40.7841,-76.6713,Northumberland,0
40.0595,-75.7447,Chester,0
40.3415,-79.8007,Allegheny,0
41.0789,-78.3345,Clearfield,0
41.7753,-78.7723,McKean,0
40.5565,-79.8189,Allegheny,0
40.7518,-75.5957,Northampton,0
41.8323,-78.5859,McKean,0
41.9625,-75.5825,Susquehanna,0
40.2367,-75.6599,Chester,0
40.2417,-75.2812,Montgomery,0
39.8313,-75.7565,Chester,0
40.5422,-76.9552,Dauphin,0
41.2525,-75.4795,Lackawanna,0
39.8545,-76.7667,York,0
40.2924,-80.2055,Washington,0
40.2397,-76.8156,Dauphin,0
40.2892,-79.7312,Westmoreland,0
41.8761,-75.7266,Susquehanna,0
41.989,-77.314,Tioga,0
39.8534,-75.8216,Chester,0
40.3977,-79.9185,Allegheny,0
40.2287,-76.0809,Lancaster,0
40.7045,-79.7228,Butler,0
40.4132,-75.3802,Bucks,0
39.9022,-75.3488,Delaware,0
40.089,-75.7719,Chester,0
40.8322,-76.2061,Schuylkill,0
41.0781,-77.4114,Clinton,0
41.4506,-75.5753,Lackawanna,0
40.5328,-79.5978,Westmoreland,0
40.0815,-75.9374,Chester,0
40.4926,-80.296,Allegheny,0
40.2442,-76.8991,Cumberland,0
41.0767,-76.4115,Columbia,0
40.2893,-75.2095,Bucks,0
39.9289,-77.0584,Adams,0
41.0338,-77.3023,Clinton,0
40.5033,-75.6674,Berks,0
40.6583,-77.6014,Mifflin,0
41.7312,-76.2347,Bradford,0
41.0039,-75.2116,Monroe,0
40.2012,-78.1406,Huntingdon,0
41.2797,-75.4016,Wayne,0
40.6735,-76.1885,Schuylkill,0
39.9799,-76.6317,York,0
40.8249,-75.8464,Carbon,0
40.8813,-75.1863,Northampton,0
40.2934,-78.8726,Cambria,0
41.9449,-79.9855,Erie,0
40.6404,-79.1456,Indiana,0
40.7883,-76.555,Northumberland,0
40.3614,-76.4217,Lebanon,0
40.4456,-79.6555,Westmoreland,0
41.4716,-79.9311,Venango,0
40.5007,-75.9701,Berks,0
40.2196,-79.7846,Westmoreland,0
39.9601,-75.6058,Chester,0
40.6948,-80.1309,Butler,0
40.6811,-79.193,Indiana,0
39.8701,-77.3303,Adams,0
41.4108,-79.2287,Clarion,0
41.4896,-76.6028,Sullivan,0
40.671,-75.4961,Lehigh,0
39.999,-75.7519,Chester,0
40.6302,-76.3912,Schuylkill,0
39.8986,-76.6078,York,0
40.1784,-74.8524,Bucks,0
40.0911,-74.8975,Bucks,0
40.0868,-79.7528,Fayette,0
40.4085,-78.6407,Cambria,0
41.9855,-76.5207,Bradford,0
39.8099,-79.5623,Fayette,0
40.3616,-74.9573,Bucks,0
40.2665,-79.6787,Westmoreland,0
41.161,-79.6545,Clarion,0
39.8244,-75.4244,Delaware,0
40.3069,-75.9438,Berks,0
40.0496,-75.4271,Chester,0
40.8279,-79.5233,Armstrong,0
40.6588,-76.6931,Schuylkill,0
41.2547,-76.955,Lycoming,0
40.3942,-79.8101,Allegheny,0
41.6119,-76.0457,Wyoming,0
39.8298,-75.4563,Delaware,0
41.1955,-76.3846,Columbia,0
41.2004,-76.0003,Luzerne,0
41.4148,-78.1989,Cameron,0
40.5426,-78.7891,Cambria,0
40.0619,-80.0302,Washington,0
