id,name,bias - 1,bias - 3,bias - 5,id,Log - 1,Log - 3,Log - 5
364,Leslie/Kentucky,5132,1285,31150,364,3.710286648,3.108903128,4.493458051
114,Alexandria (city)/Virginia,4611,1280,3880,114,3.663795122,3.10720997,3.588831726
338,Ohio/Kentucky,24095,1262,15089,338,4.381926931,3.101059355,4.178660459
385,Henderson/Kentucky,4014,1201,3662,385,3.603577368,3.079543007,3.56371834
355,Clinton/Kentucky,9904,1196,11222,355,3.995810632,3.07773118,4.050070264
429,Spencer/Kentucky,1514,1195,3945,429,3.180125875,3.077367905,3.596047008
73,Bland/Virginia,3456,1193,192,73,3.538573734,3.076640444,2.283301229
162,Roane/West Virginia,6211,1156,10503,162,3.793161529,3.062957834,4.021313365
167,Ohio/West Virginia,253944,1154,46021,167,5.404737956,3.062205809,4.662956051
90,Norfolk (city)/Virginia,174293,1101,320214,90,5.241279945,3.041787319,5.505440316
98,Martinsville (city)/Virginia,2488,1099,1993,98,3.395850376,3.040997692,3.299507299
211,Clarion/Pennsylvania,53750,1083,53400,211,4.730378469,3.034628457,4.727541257
92,Clarke/Virginia,5612,1056,13168,92,3.749117662,3.023663918,4.119519818
34,Lunenburg/Virginia,4528,1041,7991,34,3.655906418,3.01745073,3.902601131
88,Alleghany/Virginia,25671,974,58433,88,4.409442787,2.988558957,4.766658184
445,Trimble/Kentucky,4489,972,5094,445,3.652149605,2.987666265,3.707058941
238,Union/Pennsylvania,10440,965,5581,238,4.018700499,2.984527313,3.746712023
391,Marion/Kentucky,1166,965,30898,391,3.06669855,2.984527313,4.489930369
78,Madison/Virginia,5646,961,6541,78,3.751740874,2.982723388,3.815644149
80,Bath/Virginia,1718,954,4164,80,3.235023159,2.979548375,3.619510721
275,Tuscarawas/Ohio,88833,951,246618,275,4.948574329,2.978180517,5.392024771
332,Morgan/Ohio,5496,949,9683,332,3.740046724,2.977266212,3.986009932
197,Snyder/Pennsylvania,33391,940,19327,197,4.523629426,2.973127854,4.286164447
291,Harrison/Ohio,4802,937,6668,291,3.681422156,2.971739591,3.823995591
174,Tyler/West Virginia,2040,924,2333,174,3.309630167,2.965671971,3.367914739
232,Elk/Pennsylvania,1236,903,2701,232,3.092018471,2.95568775,3.431524584
247,Henry/Ohio,4782,884,4608,247,3.679609572,2.946452265,3.66351247
5,Manassas Park (city)/Virginia,2518,861,3357,5,3.401055726,2.935003151,3.525951341
443,Edmonson/Kentucky,637,849,12687,443,2.804139432,2.92890769,4.10335894
23,Southampton/Virginia,96614,844,82083,23,4.985040063,2.926342447,4.914253221
410,Gallatin/Kentucky,8063,823,13629,410,3.90649666,2.915399835,4.134463992
52,Greensville/Virginia,4019,809,8778,52,3.604118006,2.907948522,3.943395577
319,Wyandot/Ohio,13384,796,18703,319,4.126585928,2.900913068,4.271911274
450,Owsley/Kentucky,7955,779,9520,450,3.900640184,2.891537458,3.978636948
128,Jefferson/West Virginia,13263,761,27673,128,4.12264177,2.881384657,4.442056243
149,Calhoun/West Virginia,347,725,546,149,2.540329475,2.860338007,2.737192643
15,Mathews/Virginia,10286,723,6489,15,4.01224652,2.859138297,3.812177774
136,Monroe/West Virginia,2645,708,4613,136,3.422425676,2.850033258,3.663983455
401,Henry/Kentucky,5743,683,12272,401,3.759138816,2.834420704,4.088915347
113,Floyd/Virginia,4599,680,4289,113,3.66266341,2.832508913,3.632356046
17,Waynesboro (city)/Virginia,873,673,1068,17,2.941014244,2.828015064,3.028571253
384,Casey/Kentucky,34734,665,48125,384,4.5407548,2.822821645,4.682370743
363,Webster/Kentucky,1285,639,2272,363,3.108903128,2.805500858,3.356408327
302,Fulton/Ohio,45209,618,22802,302,4.655224901,2.790988475,4.357972941
3,Rockbridge/Virginia,23793,596,53232,3,4.376449205,2.77524626,4.726172784
102,Harrisonburg (city)/Virginia,1878,575,6722,102,3.273695588,2.759667845,3.827498508
218,Mifflin/Pennsylvania,30376,564,28509,218,4.482530584,2.751279104,4.454981984
289,Paulding/Ohio,4229,562,4813,289,3.626237685,2.749736316,3.682415862
30,Dinwiddie/Virginia,5307,547,3135,30,3.724849088,2.737987326,3.496237545
451,Cumberland/Kentucky,821,516,3181,451,2.914343157,2.712649702,3.502563669
36,Buckingham/Virginia,167853,505,181870,36,5.224929108,2.703291378,5.259761067
342,Union/Kentucky,276,505,264,342,2.440909082,2.703291378,2.421603927
24,Westmoreland/Virginia,3650,493,46118,24,3.562292864,2.692846919,4.663870465
394,Lyon/Kentucky,7491,487,9014,394,3.874539797,2.687528961,3.954917554
223,Greene/Pennsylvania,9316,474,76851,223,3.96922948,2.675778342,4.885649523
390,Hart/Kentucky,1632,441,5757,390,3.212720154,2.644438589,3.760196229
82,Nottoway/Virginia,2335,423,2048,82,3.368286885,2.626340367,3.311329952
148,Barbour/West Virginia,182,422,73,148,2.260071388,2.625312451,1.86332286
243,Pike/Pennsylvania,62046,420,92855,243,4.792713789,2.62324929,4.967805294
76,Essex/Virginia,2302,378,1587,76,3.362105319,2.5774918,3.200576927
118,Emporia (city)/Virginia,1394,376,543,118,3.144262774,2.575187845,2.73479983
57,Brunswick/Virginia,9000,362,9500,57,3.954242509,2.558708571,3.977723605
110,Staunton (city)/Virginia,1232,362,1019,110,3.090610708,2.558708571,3.008174184
64,Caroline/Virginia,37097,346,62741,64,4.56933879,2.539076099,4.797551436
126,Fayette/West Virginia,13648,324,14953,126,4.135069014,2.51054501,4.174728333
172,Ritchie/West Virginia,599,323,159,172,2.777426822,2.509202522,2.201397124
134,Boone/West Virginia,9208,320,11383,134,3.964165311,2.505149978,4.056256736
393,Marshall/Kentucky,1021,319,9403,393,3.009025742,2.503790683,3.973266436
421,Crittenden/Kentucky,2587,312,1466,421,3.412796429,2.494154594,3.16613397
71,Goochland/Virginia,924,297,3277,71,2.965671971,2.472756449,3.515476441
119,Poquoson (city)/Virginia,342,297,307,119,2.534026106,2.472756449,2.487138375
323,Carroll/Ohio,4680,296,7235,323,3.670245853,2.471291711,3.859438535
447,Robertson/Kentucky,1041,288,625,447,3.01745073,2.459392488,2.795880017
350,Monroe/Kentucky,1928,285,1251,350,3.28510703,2.45484486,3.09725731
161,Wyoming/West Virginia,1365,278,991,161,3.135132651,2.444044796,2.996073654
79,Middlesex/Virginia,2936,277,2471,79,3.467756051,2.442479769,3.392872745
438,Butler/Kentucky,2666,256,2992,438,3.425860145,2.408239965,3.475961589
83,Greene/Virginia,7196,244,14649,83,3.857091155,2.387389826,4.165807979
425,Fulton/Kentucky,1922,244,467,425,3.283753383,2.387389826,2.669316881
164,Gilmer/West Virginia,1034,231,1967,164,3.014520539,2.36361198,3.29380436
208,Forest/Pennsylvania,533,228,612,208,2.726727209,2.357934847,2.786751422
55,Cumberland/Virginia,2645,221,3300,55,3.422425676,2.344392274,3.51851394
105,Appomattox/Virginia,4505,215,7178,105,3.653694795,2.33243846,3.856003454
135,Preston/West Virginia,1937,205,5199,135,3.287129621,2.311753861,3.715919817
177,Doddridge/West Virginia,12331,202,5496,177,4.090998298,2.305351369,3.740046724
160,Clay/West Virginia,679,199,1770,160,2.831869774,2.298853076,3.247973266
101,Amherst/Virginia,57469,163,36456,101,4.75943364,2.212187604,4.561769016
144,Brooke/West Virginia,1384,142,630,144,3.14113609,2.152288344,2.799340549
256,Williams/Ohio,1667,139,943,256,3.2219356,2.1430148,2.974511693
121,Buena Vista (city)/Virginia,657,137,115,121,2.81756537,2.136720567,2.06069784
246,Putnam/Ohio,618,125,835,246,2.790988475,2.096910013,2.921686475
33,Northampton/Virginia,839,115,974,33,2.923761961,2.06069784,2.988558957
392,Trigg/Kentucky,556,106,987,392,2.745074792,2.025305865,2.994317153
418,McLean/Kentucky,431,98,451,418,2.63447727,1.991226076,2.654176542
395,Washington/Kentucky,950,96,585,395,2.977723605,1.982271233,2.767155866
365,Metcalfe/Kentucky,320,93,495,365,2.505149978,1.968482949,2.694605199
336,Breckinridge/Kentucky,748,88,2180,336,2.873901598,1.944482672,3.338456494
87,Craig/Virginia,1072,86,1044,87,3.030194785,1.934498451,3.018700499
236,Cameron/Pennsylvania,687,78,590,236,2.836956737,1.892094603,2.770852012
77,Sussex/Virginia,774,76,4488,77,2.888740961,1.880813592,3.652052848
35,Lancaster/Virginia,954,68,1568,35,2.979548375,1.832508913,3.195346058
44,Amelia/Virginia,3982,62,3151,44,3.600101256,1.792391689,3.498448403
396,Owen/Kentucky,7842,61,1106,396,3.894426838,1.785329835,3.043755127
374,Larue/Kentucky,428,59,411,374,2.631443769,1.770852012,2.613841822
367,Todd/Kentucky,294,58,378,367,2.46834733,1.763427994,2.5774918
403,Hickman/Kentucky,57,54,106,403,1.755874856,1.73239376,2.025305865
112,Williamsburg (city)/Virginia,254,47,80,112,2.404833717,1.672097858,1.903089987
430,Livingston/Kentucky,1283,37,1100,430,3.108226656,1.568201724,3.041392685
388,Carlisle/Kentucky,114,30,54,388,2.056904851,1.477121255,1.73239376
233,Sullivan/Pennsylvania,386,28,589,233,2.586587305,1.447158031,2.770115295
21,Lexington (city)/Virginia,32,27,29,21,1.505149978,1.431363764,1.462397998
97,Galax (city)/Virginia,39,23,95,97,1.591064607,1.361727836,1.977723605
125,Tucker/West Virginia,21,21,21,125,1.322219295,1.322219295,1.322219295
420,Hancock/Kentucky,19,19,19,420,1.278753601,1.278753601,1.278753601
147,Pendleton/West Virginia,16,16,16,147,1.204119983,1.204119983,1.204119983
53,Charles City/Virginia,208,12,92,53,2.318063335,1.079181246,1.963787827
94,Surry/Virginia,45,11,86,94,1.653212514,1.041392685,1.934498451
95,Falls Church (city)/Virginia,108,11,69,95,2.033423755,1.041392685,1.838849091
176,Lincoln/West Virginia,9,9,9,176,0.954242509,0.954242509,0.954242509
170,Pleasants/West Virginia,55,8,51,170,1.740362689,0.903089987,1.707570176
60,Highland/Virginia,6,6,6,60,0.77815125,0.77815125,0.77815125
151,Taylor/West Virginia,6,6,6,151,0.77815125,0.77815125,0.77815125
369,Ballard/Kentucky,9,5,3,369,0.954242509,0.698970004,0.477121255
115,Norton (city)/Virginia,4,4,4,115,0.602059991,0.602059991,0.602059991
173,Wirt/West Virginia,2,2,2,173,0.301029996,0.301029996,0.301029996
84,Covington (city)/Virginia,1,1,1,84,0,0,0
