经度,纬度,年份,数目,地名,药物
-85.9358,37.8193,2012,29,"Hardin, Kentucky",Oxycodone
-85.9358,37.8193,2012,2,"Hardin, Kentucky",Oxymorphone
-83.4045,36.8155,2012,93,"Harlan, Kentucky",Hydrocodone
-83.4045,36.8155,2012,3,"Harlan, Kentucky",Tramadol
-80.2989,39.3923,2012,1,"Harrison, West Virginia",Dextropropoxyphene
-80.2989,39.3923,2012,13,"Harrison, West Virginia",Morphine
-85.3036,38.4623,2012,2,"Henry, Kentucky",Heroin
-83.9415,41.371,2012,1,"Henry, Ohio",Fentanyl
-83.9415,41.371,2012,6,"Henry, Ohio",Heroin
-79.7872,36.6871,2012,29,"Henry, Virginia",Oxycodone
-79.7872,36.6871,2012,2,"Henry, Virginia",Oxymorphone
-83.3871,39.0747,2012,2,"Highland, Ohio",Hydromorphone
-82.5993,39.4187,2012,8,"Hocking, Ohio",Oxycodone
-87.6885,37.1737,2012,1,"Hopkins, Kentucky",Buprenorphine
-87.6885,37.1737,2012,2,"Hopkins, Kentucky",Morphine
-82.4915,41.2508,2012,1,"Huron, Ohio",Oxymorphone
-76.8308,36.866,2012,4,"Isle of Wight, Virginia",Oxycodone
-76.8308,36.866,2012,1,"Isle of Wight, Virginia",Oxymorphone
-83.9735,37.5751,2012,4,"Jackson, Kentucky",Buprenorphine
-81.8235,38.8656,2012,1,"Jackson, West Virginia",Codeine
-85.6333,38.2907,2012,60,"Jefferson, Kentucky",Methadone
-77.7517,39.3242,2012,2,"Jefferson, West Virginia",Buprenorphine
-77.7517,39.3242,2012,1,"Jefferson, West Virginia",Codeine
-84.6545,37.8787,2012,3,"Jessamine, Kentucky",Oxymorphone
-82.8382,37.8806,2012,41,"Johnson, Kentucky",Oxycodone
-81.3502,38.486,2012,8,"Kanawha, West Virginia",Buprenorphine
-81.3502,38.486,2012,6,"Kanawha, West Virginia",Codeine
-81.3502,38.486,2012,61,"Kanawha, West Virginia",Hydrocodone
-81.3502,38.486,2012,6,"Kanawha, West Virginia",Morphine
-84.5675,39.0338,2012,1,"Kenton, Kentucky",Hydromorphone
-78.6333,37.494,2012,1,"Buckingham, Virginia",Codeine
-78.6333,37.494,2012,3,"Buckingham, Virginia",Morphine
-83.0941,37.4957,2012,1,"Knott, Kentucky",Buprenorphine
-83.7598,36.8353,2012,2,"Knox, Kentucky",Heroin
-83.7598,36.8353,2012,5,"Knox, Kentucky",Methadone
-82.5049,40.5342,2012,8,"Knox, Ohio",Oxycodone
-75.666,41.4846,2012,18,"Lackawanna, Pennsylvania",Oxycodone
-81.469,41.6072,2012,1,"Lake, Ohio",Hydromorphone
-76.3275,39.832,2012,3,"Lancaster, Pennsylvania",Hydromorphone
-80.2625,40.8618,2012,2,"Lawrence, Pennsylvania",Buprenorphine
-76.448,40.337,2012,78,"Lebanon, Pennsylvania",Heroin
-76.448,40.337,2012,3,"Lebanon, Pennsylvania",Methadone
-83.6085,37.6023,2012,3,"Lee, Kentucky",Hydromorphone
-75.5072,40.6666,2012,5,"Lehigh, Pennsylvania",Buprenorphine
-75.5072,40.6666,2012,4,"Lehigh, Pennsylvania",Codeine
-75.5072,40.6666,2012,13,"Lehigh, Pennsylvania",Hydrocodone
-75.5072,40.6666,2012,3,"Lehigh, Pennsylvania",Morphine
-82.4129,39.9595,2012,15,"Licking, Ohio",Methadone
-83.5444,40.4007,2012,64,"Logan, Ohio",Heroin
-77.4712,39.0302,2012,13,"Loudoun, Virginia",Hydrocodone
-77.4712,39.0302,2012,1,"Loudoun, Virginia",Tramadol
-77.9061,38.0068,2012,16,"Louisa, Virginia",Oxycodone
-77.9061,38.0068,2012,3,"Louisa, Virginia",Oxymorphone
-83.582,41.6639,2012,6,"Lucas, Ohio",Methadone
-78.1283,36.9608,2012,1,"Lunenburg, Virginia",Morphine
-75.8214,41.3338,2012,4,"Luzerne, Pennsylvania",Methadone
-88.0769,37.0759,2012,1,"Lyon, Kentucky",Oxycodone
-84.2928,37.724,2012,6,"Madison, Kentucky",Buprenorphine
-84.2928,37.724,2012,6,"Madison, Kentucky",Morphine
-78.3261,38.4879,2012,1,"Madison, Virginia",Hydromorphone
-81.0231,40.9207,2012,6,"Mahoning, Ohio",Oxymorphone
-83.2077,40.5321,2012,1,"Marion, Ohio",Fentanyl
-83.2077,40.5321,2012,83,"Marion, Ohio",Heroin
-83.2077,40.5321,2012,1,"Marion, Ohio",Methadone
-80.1696,39.5013,2012,6,"Marion, West Virginia",Hydrocodone
-88.4656,36.867,2012,9,"Marshall, Kentucky",Hydrocodone
-80.7335,39.9854,2012,2,"Marshall, West Virginia",Buprenorphine
-80.7335,39.9854,2012,6,"Marshall, West Virginia",Hydrocodone
-81.3572,37.3675,2012,1,"McDowell, West Virginia",Methadone
-78.66,41.8694,2012,1,"McKean, Pennsylvania",Heroin
-78.66,41.8694,2012,3,"McKean, Pennsylvania",Oxycodone
-85.9915,37.9366,2012,10,"Meade, Kentucky",Oxycodone
-85.9915,37.9366,2012,7,"Meade, Kentucky",Oxymorphone
-78.3908,36.666,2012,44,"Mecklenburg, Virginia",Oxycodone
-82.0122,41.0348,2012,2,"Medina, Ohio",Hydromorphone
-82.034,39.0292,2012,2,"Meigs, Ohio",Buprenorphine
-82.034,39.0292,2012,15,"Meigs, Ohio",Hydrocodone
-82.034,39.0292,2012,1,"Meigs, Ohio",Morphine
-84.9097,37.6965,2012,3,"Mercer, Kentucky",Heroin
-84.7761,40.4113,2012,67,"Mercer, Ohio",Heroin
-80.0893,41.1572,2012,12,"Mercer, Pennsylvania",Hydrocodone
-80.964,37.4362,2012,19,"Mercer, West Virginia",Oxymorphone
-84.4084,39.9951,2012,2,"Miami, Ohio",Hydromorphone
-76.5747,37.6395,2012,1,"Middlesex, Virginia",Fentanyl
-77.8141,40.5331,2012,1,"Mifflin, Pennsylvania",Fentanyl
-77.8141,40.5331,2012,12,"Mifflin, Pennsylvania",Heroin
-77.1011,38.8786,2012,35,"Arlington, Virginia",Oxycodone
-79.4603,40.9185,2012,5,"Armstrong, Pennsylvania",Buprenorphine
-82.2818,40.9214,2012,76,"Ashland, Ohio",Heroin
-80.6173,41.8567,2012,4,"Ashtabula, Ohio",Codeine
-79.0087,38.1939,2012,5,"Augusta, Virginia",Hydromorphone
-85.9264,37.0048,2012,1,"Barren, Kentucky",Buprenorphine
-85.9264,37.0048,2012,43,"Barren, Kentucky",Hydrocodone
-78.5075,40.2592,2012,27,"Bedford, Pennsylvania",Heroin
-83.8774,36.5942,2012,1,"Bell, Kentucky",Fentanyl
-83.8774,36.5942,2012,3,"Bell, Kentucky",Tramadol
-77.9779,39.458,2012,2,"Berkeley, West Virginia",Oxymorphone
-76.1391,40.3495,2012,8,"Berks, Pennsylvania",Buprenorphine
-76.1391,40.3495,2012,20,"Berks, Pennsylvania",Hydrocodone
-81.1501,37.1521,2012,1,"Bland, Virginia",Fentanyl
-81.1501,37.1521,2012,2,"Bland, Virginia",Oxymorphone
-79.8779,37.4167,2012,2,"Botetourt, Virginia",Hydromorphone
-79.8779,37.4167,2012,1,"Botetourt, Virginia",Methadone
-84.1101,38.1425,2012,42,"Bourbon, Kentucky",Oxycodone
-82.7816,38.3354,2012,132,"Boyd, Kentucky",Oxycodone
-82.7816,38.3354,2012,3,"Boyd, Kentucky",Oxymorphone
-82.7816,38.3354,2012,3,"Boyd, Kentucky",Tramadol
-84.0666,38.6818,2012,21,"Bracken, Kentucky",Heroin
-84.0666,38.6818,2012,2,"Bracken, Kentucky",Methadone
-80.8979,38.5632,2012,11,"Braxton, West Virginia",Oxycodone
-86.6304,37.8312,2012,1,"Breckinridge, Kentucky",Buprenorphine
-86.6304,37.8312,2012,5,"Breckinridge, Kentucky",Hydrocodone
-86.6304,37.8312,2012,1,"Breckinridge, Kentucky",Tramadol
-83.7878,38.8673,2012,32,"Brown, Ohio",Oxycodone
-83.7878,38.8673,2012,4,"Brown, Ohio",Oxymorphone
-77.8937,36.8553,2012,1,"Brunswick, Virginia",Fentanyl
-77.8937,36.8553,2012,5,"Brunswick, Virginia",Heroin
-81.8015,37.2473,2012,1,"Buchanan, Virginia",Codeine
-81.8015,37.2473,2012,1,"Buchanan, Virginia",Morphine
-74.8852,40.1015,2012,1,"Bucks, Pennsylvania",Meperidine
-85.7146,38.0645,2012,7,"Bullitt, Kentucky",Buprenorphine
-85.7146,38.0645,2012,1,"Bullitt, Kentucky",Codeine
-86.8921,37.2093,2012,3,"Butler, Kentucky",Oxycodone
-79.74,40.9505,2012,70,"Butler, Pennsylvania",Heroin
-79.74,40.9505,2012,1,"Butler, Pennsylvania",Methadone
-82.3188,38.4154,2012,97,"Cabell, West Virginia",Heroin
-88.4381,36.5892,2012,1,"Calloway, Kentucky",Codeine
-78.8446,40.4111,2012,110,"Cambria, Pennsylvania",Heroin
-78.8446,40.4111,2012,3,"Cambria, Pennsylvania",Hydromorphone
-78.8446,40.4111,2012,5,"Cambria, Pennsylvania",Methadone
-84.4815,39.0401,2012,1,"Campbell, Kentucky",Hydromorphone
-84.4815,39.0401,2012,11,"Campbell, Kentucky",Methadone
-75.7009,40.8289,2012,8,"Carbon, Pennsylvania",Oxycodone
-77.3473,38.0533,2012,11,"Caroline, Virginia",Heroin
-80.6997,36.6771,2012,3,"Carroll, Virginia",Morphine
-84.9875,37.4551,2012,10,"Casey, Kentucky",Buprenorphine
-83.9635,40.2174,2012,1,"Champaign, Ohio",Morphine
-75.885,39.9639,2012,5,"Chester, Pennsylvania",Tramadol
-77.6492,37.506,2012,29,"Chesterfield, Virginia",Buprenorphine
-77.6492,37.506,2012,5,"Chesterfield, Virginia",Codeine
-77.6492,37.506,2012,1,"Chesterfield, Virginia",Propoxyphene
-79.3803,41.2106,2012,2,"Clarion, Pennsylvania",Methadone
-84.0243,39.8862,2012,3,"Clark, Ohio",Oxycodone
-77.9823,39.1508,2012,1,"Clarke, Virginia",Morphine
-81.0815,38.4662,2012,1,"Clay, West Virginia",Hydrocodone
-85.0683,36.8051,2012,1,"Clinton, Kentucky",Oxycodone
-81.7517,40.2761,2012,3,"Coshocton, Ohio",Hydrocodone
-82.7773,40.7392,2012,12,"Crawford, Ohio",Buprenorphine
-79.8364,41.8176,2012,21,"Crawford, Pennsylvania",Oxycodone
-78.0883,37.6674,2012,1,"Cumberland, Virginia",Hydromorphone
-81.5348,41.4948,2012,3,"Cuyahoga, Ohio",Tramadol
-84.6384,40.2802,2012,2,"Darke, Ohio",Oxycodone
-76.8843,40.2752,2012,18,"Dauphin, Pennsylvania",Hydrocodone
-76.8843,40.2752,2012,42,"Dauphin, Pennsylvania",Oxycodone
-76.8843,40.2752,2012,3,"Dauphin, Pennsylvania",Oxymorphone
-76.8843,40.2752,2012,3,"Dauphin, Pennsylvania",Tramadol
-86.9805,37.7892,2012,20,"Daviess, Kentucky",Hydrocodone
-86.9805,37.7892,2012,1,"Daviess, Kentucky",Mitragynine
-83.08,40.1679,2012,5,"Delaware, Ohio",Buprenorphine
-83.08,40.1679,2012,2,"Delaware, Ohio",Codeine
-75.4338,39.894,2012,18,"Delaware, Pennsylvania",Codeine
-82.3763,37.1026,2012,17,"Dickenson, Virginia",Hydrocodone
-77.7219,36.9853,2012,1,"Dinwiddie, Virginia",Codeine
-80.7407,39.1254,2012,11,"Doddridge, West Virginia",Heroin
-82.808,41.4011,2012,107,"Erie, Ohio",Heroin
-77.1579,38.8514,2012,246,"Fairfax, Virginia",Heroin
-77.1579,38.8514,2012,16,"Fairfax, Virginia",Methadone
-82.5446,39.8426,2012,1,"Fairfield, Ohio",Hydromorphone
-82.5446,39.8426,2012,8,"Fairfield, Ohio",Methadone
-77.6661,38.6355,2012,13,"Fauquier, Virginia",Hydrocodone
-77.6661,38.6355,2012,2,"Fauquier, Virginia",Tramadol
-84.5255,38.1059,2012,5,"Fayette, Kentucky",Hydromorphone
-79.5872,40.0903,2012,2,"Fayette, Pennsylvania",Fentanyl
-79.5872,40.0903,2012,40,"Fayette, Pennsylvania",Oxycodone
-79.5872,40.0903,2012,8,"Fayette, Pennsylvania",Oxymorphone
-81.0795,37.9607,2012,10,"Fayette, West Virginia",Hydrocodone
-81.0795,37.9607,2012,24,"Fayette, West Virginia",Oxycodone
-82.7994,37.451,2012,8,"Floyd, Kentucky",Heroin
-82.7994,37.451,2012,5,"Floyd, Kentucky",Methadone
-84.8955,38.3228,2012,3,"Franklin, Kentucky",Heroin
-84.8955,38.3228,2012,1,"Franklin, Kentucky",Propoxyphene
-83.0703,39.8665,2012,1,"Franklin, Ohio",Fentanyl
-83.0703,39.8665,2012,777,"Franklin, Ohio",Heroin
-83.0703,39.8665,2012,24,"Franklin, Ohio",Methadone
-77.515,39.7243,2012,1,"Franklin, Pennsylvania",Fentanyl
-77.515,39.7243,2012,49,"Franklin, Pennsylvania",Oxycodone
-77.515,39.7243,2012,1,"Franklin, Pennsylvania",Oxymorphone
-80.1873,40.4001,2012,4,"Allegheny, Pennsylvania",Propoxyphene
-84.0848,40.8305,2012,78,"Allen, Ohio",Heroin
-84.0848,40.8305,2012,3,"Allen, Ohio",Methadone
-78.682,37.2642,2012,5,"Appomattox, Virginia",Heroin
-77.1011,38.8786,2012,8,"Arlington, Virginia",Buprenorphine
-79.4603,40.9185,2012,8,"Armstrong, Pennsylvania",Hydrocodone
-79.4603,40.9185,2012,1,"Armstrong, Pennsylvania",Tramadol
-82.2818,40.9214,2012,17,"Ashland, Ohio",Hydrocodone
-82.2818,40.9214,2012,6,"Ashland, Ohio",Tramadol
-80.6173,41.8567,2012,2,"Ashtabula, Ohio",Morphine
-82.1261,39.4005,2012,54,"Athens, Ohio",Oxycodone
-82.1261,39.4005,2012,3,"Athens, Ohio",Oxymorphone
-79.0087,38.1939,2012,5,"Augusta, Virginia",Methadone
-83.6156,38.1193,2012,3,"Bath, Kentucky",Hydromorphone
-83.6156,38.1193,2012,1,"Bath, Kentucky",Morphine
-79.5709,38.1948,2012,10,"Bath, Virginia",Hydrocodone
-80.4738,40.5989,2012,9,"Beaver, Pennsylvania",Hydrocodone
-80.4738,40.5989,2012,3,"Beaver, Pennsylvania",Tramadol
-78.5075,40.2592,2012,1,"Bedford, Pennsylvania",Morphine
-79.7253,37.3866,2012,5,"Bedford, Virginia",Buprenorphine
-81.1313,40.1621,2012,9,"Belmont, Ohio",Hydrocodone
-76.1391,40.3495,2012,3,"Berks, Pennsylvania",Mitragynine
-78.2272,40.6864,2012,2,"Blair, Pennsylvania",Fentanyl
-78.2272,40.6864,2012,14,"Blair, Pennsylvania",Hydrocodone
-81.1501,37.1521,2012,1,"Bland, Virginia",Methadone
-84.6731,38.9472,2012,1,"Boone, Kentucky",Methadone
-81.7138,37.9713,2012,2,"Boone, West Virginia",Oxymorphone
-79.8779,37.4167,2012,13,"Botetourt, Virginia",Morphine
-84.1101,38.1425,2012,5,"Bourbon, Kentucky",Heroin
-82.7816,38.3354,2012,4,"Boyd, Kentucky",Methadone
-84.7903,37.5855,2012,4,"Boyle, Kentucky",Methadone
-76.1763,41.7606,2012,4,"Bradford, Pennsylvania",Buprenorphine
-83.4585,37.4215,2012,39,"Breathitt, Kentucky",Oxycodone
-83.7878,38.8673,2012,21,"Brown, Ohio",Buprenorphine
-81.8015,37.2473,2012,4,"Buchanan, Virginia",Hydromorphone
-81.8015,37.2473,2012,2,"Buchanan, Virginia",Methadone
-78.6333,37.494,2012,6,"Buckingham, Virginia",Oxycodone
-74.8852,40.1015,2012,30,"Bucks, Pennsylvania",Hydrocodone
-74.8852,40.1015,2012,6,"Bucks, Pennsylvania",Tramadol
-85.7146,38.0645,2012,24,"Bullitt, Kentucky",Oxycodone
-85.7146,38.0645,2012,19,"Bullitt, Kentucky",Oxymorphone
-84.5652,39.3938,2012,3,"Butler, Ohio",Fentanyl
-84.5652,39.3938,2012,13,"Butler, Ohio",Morphine
-82.3188,38.4154,2012,11,"Cabell, West Virginia",Hydrocodone
-88.0604,37.2085,2012,28,"Caldwell, Kentucky",Hydrocodone
-88.4381,36.5892,2012,7,"Calloway, Kentucky",Hydrocodone
-84.4815,39.0401,2012,15,"Campbell, Kentucky",Morphine
-79.2895,37.2338,2012,2,"Campbell, Virginia",Fentanyl
-79.2895,37.2338,2012,22,"Campbell, Virginia",Hydrocodone
-79.2895,37.2338,2012,1,"Campbell, Virginia",Methadone
-75.7009,40.8289,2012,7,"Carbon, Pennsylvania",Buprenorphine
-77.3473,38.0533,2012,2,"Caroline, Virginia",Morphine
-85.0681,38.6098,2012,22,"Carroll, Kentucky",Oxycodone
-85.0681,38.6098,2012,4,"Carroll, Kentucky",Oxymorphone
-80.6997,36.6771,2012,1,"Carroll, Virginia",Methadone
-82.9371,38.3318,2012,4,"Carter, Kentucky",Buprenorphine
-84.9875,37.4551,2012,5,"Casey, Kentucky",Oxycodone
-84.9875,37.4551,2012,1,"Casey, Kentucky",Oxymorphone
-77.7057,40.98,2012,1,"Centre, Pennsylvania",Morphine
-78.601,36.9933,2012,1,"Charlotte, Virginia",Morphine
-78.4856,38.0374,2012,2,"Charlottesville (city), Virginia",Heroin
-75.885,39.9639,2012,1,"Chester, Pennsylvania",Hydromorphone
-75.885,39.9639,2012,10,"Chester, Pennsylvania",Methadone
-77.6492,37.506,2012,98,"Chesterfield, Virginia",Oxycodone
-77.6492,37.506,2012,4,"Chesterfield, Virginia",Oxymorphone
-87.4875,37.12,2012,9,"Christian, Kentucky",Hydrocodone
-79.3803,41.2106,2012,8,"Clarion, Pennsylvania",Oxycodone
-84.1908,38.0014,2012,2,"Clark, Kentucky",Buprenorphine
-84.0243,39.8862,2012,1,"Clark, Ohio",Buprenorphine
-77.9823,39.1508,2012,1,"Clarke, Virginia",Hydromorphone
-78.7749,41.1062,2012,8,"Clearfield, Pennsylvania",Heroin
-78.7749,41.1062,2012,4,"Clearfield, Pennsylvania",Hydrocodone
-84.1532,39.2325,2012,33,"Clermont, Ohio",Hydrocodone
-83.8109,39.3224,2012,5,"Clinton, Ohio",Buprenorphine
-77.5306,41.0094,2012,6,"Clinton, Pennsylvania",Heroin
-76.4969,41.0177,2012,2,"Columbia, Pennsylvania",Oxycodone
-80.675,40.8871,2012,16,"Columbiana, Ohio",Oxycodone
-80.675,40.8871,2012,4,"Columbiana, Ohio",Oxymorphone
-81.7517,40.2761,2012,26,"Coshocton, Ohio",Heroin
-82.7773,40.7392,2012,27,"Crawford, Ohio",Oxycodone
-82.7773,40.7392,2012,1,"Crawford, Ohio",Oxymorphone
-79.8364,41.8176,2012,4,"Crawford, Pennsylvania",Buprenorphine
-88.1411,37.2198,2012,2,"Crittenden, Kentucky",Oxycodone
-77.8267,38.416,2012,30,"Culpeper, Virginia",Heroin
-77.8267,38.416,2012,8,"Culpeper, Virginia",Methadone
-76.9274,40.2422,2012,3,"Cumberland, Pennsylvania",Buprenorphine
-81.5348,41.4948,2012,1877,"Cuyahoga, Ohio",Heroin
-81.5348,41.4948,2012,4,"Cuyahoga, Ohio",Propoxyphene
-76.8843,40.2752,2012,18,"Dauphin, Pennsylvania",Buprenorphine
-86.9805,37.7892,2012,3,"Daviess, Kentucky",Heroin
-84.2855,41.3259,2012,6,"Defiance, Ohio",Morphine
-75.4338,39.894,2012,5,"Delaware, Pennsylvania",Fentanyl
-75.4338,39.894,2012,4,"Delaware, Pennsylvania",Hydromorphone
-75.4338,39.894,2012,20,"Delaware, Pennsylvania",Morphine
-80.7407,39.1254,2012,5,"Doddridge, West Virginia",Hydrocodone
-78.6869,41.5726,2012,8,"Elk, Pennsylvania",Buprenorphine
-82.808,41.4011,2012,13,"Erie, Ohio",Methadone
-79.8333,42.2134,2012,36,"Erie, Pennsylvania",Hydrocodone
-79.8333,42.2134,2012,4,"Erie, Pennsylvania",Tramadol
-77.1579,38.8514,2012,11,"Fairfax, Virginia",Tramadol
-77.1579,38.8514,2012,1,"Fairfax, Virginia",Tramadol
-81.5348,41.4948,2012,1,"Cuyahoga, Ohio",Hydromorphone
-84.6384,40.2802,2012,1,"Darke, Ohio",Fentanyl
-76.8843,40.2752,2012,264,"Dauphin, Pennsylvania",Heroin
-76.8843,40.2752,2012,7,"Dauphin, Pennsylvania",Methadone
-76.8843,40.2752,2012,1,"Dauphin, Pennsylvania",Pethidine
-86.9805,37.7892,2012,8,"Daviess, Kentucky",Morphine
-84.2855,41.3259,2012,12,"Defiance, Ohio",Heroin
-83.08,40.1679,2012,20,"Delaware, Ohio",Hydrocodone
-83.08,40.1679,2012,1,"Delaware, Ohio",Hydromorphone
-83.08,40.1679,2012,4,"Delaware, Ohio",Tramadol
-75.4338,39.894,2012,539,"Delaware, Pennsylvania",Heroin
-77.7219,36.9853,2012,1,"Dinwiddie, Virginia",Heroin
-78.6869,41.5726,2012,2,"Elk, Pennsylvania",Hydrocodone
-83.0188,38.1879,2012,1,"Elliott, Kentucky",Buprenorphine
-83.0188,38.1879,2012,4,"Elliott, Kentucky",Morphine
-79.8333,42.2134,2012,24,"Erie, Pennsylvania",Buprenorphine
-77.1579,38.8514,2012,198,"Fairfax, Virginia",Oxycodone
-77.1579,38.8514,2012,5,"Fairfax, Virginia",Oxymorphone
-82.5446,39.8426,2012,55,"Fairfield, Ohio",Buprenorphine
-82.5446,39.8426,2012,1,"Fairfield, Ohio",Morphine
-77.6661,38.6355,2012,2,"Fauquier, Virginia",Fentanyl
-84.5255,38.1059,2012,1,"Fayette, Kentucky",Methorphan
-83.5564,39.6522,2012,1,"Fayette, Ohio",Buprenorphine
-79.5872,40.0903,2012,28,"Fayette, Pennsylvania",Buprenorphine
-79.5872,40.0903,2012,7,"Fayette, Pennsylvania",Morphine
-83.6341,38.2126,2012,9,"Fleming, Kentucky",Heroin
-83.6341,38.2126,2012,5,"Fleming, Kentucky",Methadone
-82.7994,37.451,2012,3,"Floyd, Kentucky",Buprenorphine
-78.1638,37.7533,2012,2,"Fluvanna, Virginia",Morphine
-84.8955,38.3228,2012,2,"Franklin, Kentucky",Buprenorphine
-77.515,39.7243,2012,16,"Franklin, Pennsylvania",Buprenorphine
-77.515,39.7243,2012,4,"Franklin, Pennsylvania",Morphine
-79.9917,36.8293,2012,4,"Franklin, Virginia",Methadone
-78.3319,39.264,2012,9,"Frederick, Virginia",Hydromorphone
-88.9353,36.5767,2012,5,"Fulton, Kentucky",Hydrocodone
-83.9053,41.7113,2012,4,"Fulton, Ohio",Buprenorphine
-83.9053,41.7113,2012,2,"Fulton, Ohio",Morphine
-84.8239,38.7252,2012,5,"Gallatin, Kentucky",Hydrocodone
-82.1463,38.8862,2012,16,"Gallia, Ohio",Heroin
-80.8576,37.373,2012,12,"Giles, Virginia",Buprenorphine
-80.8576,37.373,2012,7,"Giles, Virginia",Morphine
-80.9496,38.9815,2012,1,"Gilmer, West Virginia",Hydrocodone
-76.4402,37.2801,2012,1,"Gloucester, Virginia",Buprenorphine
-88.5692,36.5603,2012,6,"Graves, Kentucky",Morphine
-81.6257,36.6015,2012,2,"Grayson, Virginia",Morphine
-83.7431,39.6598,2012,2,"Greene, Ohio",Oxymorphone
-79.9986,39.9476,2012,1,"Greene, Pennsylvania",Hydromorphone
-78.4417,38.2504,2012,8,"Greene, Virginia",Oxycodone
-78.4417,38.2504,2012,1,"Greene, Virginia",Oxymorphone
-81.5868,40.0221,2012,41,"Guernsey, Ohio",Oxycodone
-84.763,39.1864,2012,41,"Hamilton, Ohio",Buprenorphine
-84.763,39.1864,2012,1,"Hamilton, Ohio",Dextropropoxyphene
-84.763,39.1864,2012,36,"Hamilton, Ohio",Morphine
-78.5228,39.3732,2012,7,"Hampshire, West Virginia",Buprenorphine
-78.5228,39.3732,2012,1,"Hampshire, West Virginia",Morphine
-76.8978,36.9052,2012,13,"Southampton, Virginia",Heroin
-83.8235,40.9348,2012,3,"Hancock, Ohio",Hydromorphone
-85.9358,37.8193,2012,4,"Hardin, Kentucky",Heroin
-85.9358,37.8193,2012,2,"Hardin, Kentucky",Methadone
-83.4045,36.8155,2012,2,"Harlan, Kentucky",Hydromorphone
-80.2989,39.3923,2012,18,"Harrison, West Virginia",Hydrocodone
-80.2989,39.3923,2012,10,"Harrison, West Virginia",Oxycodone
-80.2989,39.3923,2012,2,"Harrison, West Virginia",Oxymorphone
-77.4322,37.6274,2012,1,"Henrico, Virginia",Fentanyl
-77.4322,37.6274,2012,1,"Henrico, Virginia",Meperidine
-79.7872,36.6871,2012,8,"Henry, Virginia",Heroin
-79.7872,36.6871,2012,3,"Henry, Virginia",Methadone
-83.3871,39.0747,2012,2,"Highland, Ohio",Codeine
-83.3871,39.0747,2012,58,"Highland, Ohio",Heroin
-83.3871,39.0747,2012,16,"Highland, Ohio",Hydrocodone
-83.3871,39.0747,2012,5,"Highland, Ohio",Methadone
-82.5993,39.4187,2012,23,"Hocking, Ohio",Heroin
-82.4915,41.2508,2012,6,"Huron, Ohio",Buprenorphine
-82.4915,41.2508,2012,4,"Huron, Ohio",Morphine
-79.1646,40.6783,2012,5,"Indiana, Pennsylvania",Buprenorphine
-76.8308,36.866,2012,3,"Isle of Wight, Virginia",Hydrocodone
-76.8308,36.866,2012,1,"Isle of Wight, Virginia",Tramadol
-83.9735,37.5751,2012,1,"Jackson, Kentucky",Hydromorphone
-82.6108,39.1117,2012,4,"Jackson, Ohio",Morphine
-85.6333,38.2907,2012,758,"Jefferson, Kentucky",Heroin
-85.6333,38.2907,2012,1,"Jefferson, Kentucky",Propoxyphene
-78.8765,40.9702,2012,3,"Jefferson, Pennsylvania",Hydrocodone
-78.8765,40.9702,2012,2,"Jefferson, Pennsylvania",Methadone
-78.8765,40.9702,2012,3,"Jefferson, Pennsylvania",Tramadol
-84.6545,37.8787,2012,11,"Jessamine, Kentucky",Heroin
-84.6545,37.8787,2012,94,"Jessamine, Kentucky",Oxycodone
-82.8382,37.8806,2012,23,"Johnson, Kentucky",Hydrocodone
-77.114,40.6868,2012,18,"Juniata, Pennsylvania",Heroin
-81.3502,38.486,2012,4,"Kanawha, West Virginia",Hydromorphone
-84.5675,39.0338,2012,1,"Kenton, Kentucky",Codeine
-84.5675,39.0338,2012,3,"Kenton, Kentucky",Methorphan
-78.6333,37.494,2012,1,"Buckingham, Virginia",Morphine
-78.6333,37.494,2012,2,"Buckingham, Virginia",Hydromorphone
-78.6333,37.494,2012,2,"Buckingham, Virginia",Codeine
-78.6333,37.494,2012,3,"Buckingham, Virginia",Hydrocodone
-83.0941,37.4957,2012,44,"Knott, Kentucky",Oxycodone
-83.0941,37.4957,2012,5,"Knott, Kentucky",Oxymorphone
-83.7598,36.8353,2012,99,"Knox, Kentucky",Oxycodone
-83.7598,36.8353,2012,3,"Knox, Kentucky",Oxymorphone
-82.5049,40.5342,2012,8,"Knox, Ohio",Hydrocodone
-83.7431,39.6598,2012,1,"Greene, Ohio",Fentanyl
-83.7431,39.6598,2012,9,"Greene, Ohio",Morphine
-79.9986,39.9476,2012,20,"Greene, Pennsylvania",Oxycodone
-77.4689,36.816,2012,8,"Greensville, Virginia",Heroin
-82.6911,38.4949,2012,10,"Greenup, Kentucky",Heroin
-81.5868,40.0221,2012,23,"Guernsey, Ohio",Buprenorphine
-78.7284,36.839,2012,6,"Halifax, Virginia",Morphine
-84.763,39.1864,2012,126,"Hamilton, Ohio",Hydrocodone
-84.763,39.1864,2012,31,"Hamilton, Ohio",Methadone
-78.5228,39.3732,2012,9,"Hampshire, West Virginia",Hydrocodone
-83.8235,40.9348,2012,3,"Hancock, Ohio",Oxymorphone
-80.5998,40.6179,2012,13,"Hancock, West Virginia",Heroin
-77.3706,37.7668,2012,13,"Hanover, Virginia",Buprenorphine
-83.5114,40.8064,2012,2,"Hardin, Ohio",Methadone
-78.8661,38.8779,2012,2,"Hardy, West Virginia",Oxycodone
-83.4045,36.8155,2012,1,"Harlan, Kentucky",Heroin
